ID_registro,ano,mes,ID_indicador,ID_cooperativa,valor
54,2022,2,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
55,2022,2,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9730191517417052
56,2022,2,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.086163563173819
57,2022,3,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3937024303264771
58,2022,3,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
59,2022,3,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.973104837359933
60,2022,3,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0894238561162673
61,2022,4,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3859088072603996
62,2022,4,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
63,2022,4,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.97419194434451
64,2022,4,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0900746163956862
65,2022,5,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3849426866469703
66,2022,5,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
67,2022,5,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9737247209164148
68,2022,5,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0906050620719781
69,2022,6,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3913678279829766
70,2022,6,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
71,2022,6,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9705031437869676
72,2022,6,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.090712998709993
73,2022,7,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3909786018213433
74,2022,7,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
75,2022,7,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9706884629245436
76,2022,7,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0906344983873194
77,2022,8,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3914517566563955
78,2022,8,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
79,2022,8,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9698494495843508
80,2022,8,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0908136836118214
81,2022,9,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.397130089224396
82,2022,9,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
83,2022,9,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9724453111069375
84,2022,9,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0911251576964985
85,2022,10,Quebranto Patrimonial,CAJA COOPERATIVA CREDICOOP,1.3948973204288084
86,2022,10,Relación Solvencia,CAJA COOPERATIVA CREDICOOP,0.0
87,2022,10,Relación entre Aportes sociales mínimos no reducibles y Capital Social,CAJA COOPERATIVA CREDICOOP,0.9723249868356424
88,2022,10,Relación entre el Capital Institucional y el Activo Total,CAJA COOPERATIVA CREDICOOP,0.0900544488446367
