ID_indicador,ano,n,media,mediana,desv_std,minimo,p10,p90,maximo
Indicador de relación entre las obligaciones financieras y el pasivo total,2024,1656,0.046,0.0,0.079,0.0,0.0,0.173,0.432
Indicador de relación entre las obligaciones financieras y el pasivo total,2025,1656,0.031,0.0,0.059,0.0,0.0,0.122,0.308
Indicador de rentabilidad sobre el capital invertido - ROIC,2021,1517,0.168,0.128,0.163,-0.537,0.022,0.385,1.374
Indicador de rentabilidad sobre el capital invertido - ROIC,2022,1653,0.14,0.104,0.168,-0.654,0.003,0.342,1.495
Indicador de rentabilidad sobre el capital invertido - ROIC,2023,1655,0.115,0.06,0.199,-0.533,-0.049,0.366,1.584
Indicador de rentabilidad sobre el capital invertido - ROIC,2024,1655,0.14,0.08,0.219,-0.583,-0.032,0.414,1.979
Indicador de rentabilidad sobre el capital invertido - ROIC,2025,1656,0.139,0.098,0.218,-0.571,-0.027,0.367,2.277
Indicador de rentabilidad sobre recursos propios - ROE,2021,1517,0.564,0.368,0.659,-0.905,0.049,1.369,4.383
Indicador de rentabilidad sobre recursos propios - ROE,2022,1653,0.453,0.293,0.588,-0.925,0.007,1.115,4.385
Indicador de rentabilidad sobre recursos propios - ROE,2023,1655,0.316,0.163,0.59,-0.892,-0.156,0.95,5.148
Indicador de rentabilidad sobre recursos propios - ROE,2024,1655,0.418,0.215,0.699,-0.983,-0.083,1.19,5.919
Indicador de rentabilidad sobre recursos propios - ROE,2025,1656,0.454,0.241,0.761,-0.948,-0.078,1.143,7.815
Quebranto Patrimonial,2021,1655,1.608,1.426,0.55,0.766,1.191,2.151,5.467
Quebranto Patrimonial,2022,1654,1.604,1.42,0.543,0.797,1.203,2.126,5.459
Quebranto Patrimonial,2023,1655,1.571,1.407,0.523,0.851,1.176,2.094,5.35
Quebranto Patrimonial,2024,1655,1.558,1.398,0.516,0.851,1.164,2.078,5.142
Quebranto Patrimonial,2025,1656,1.55,1.385,0.512,0.856,1.162,2.172,5.035
Relación entre Aportes sociales mínimos no reducibles y Capital Social,2021,1656,0.598,0.614,0.212,0.0,0.313,0.885,1.0
Relación entre Aportes sociales mínimos no reducibles y Capital Social,2022,1656,0.611,0.627,0.217,0.0,0.298,0.91,1.0
Relación entre Aportes sociales mínimos no reducibles y Capital Social,2023,1656,0.645,0.674,0.216,0.0,0.363,0.94,1.0
Relación entre Aportes sociales mínimos no reducibles y Capital Social,2024,1656,0.655,0.676,0.213,0.0,0.364,0.923,1.0
Relación entre Aportes sociales mínimos no reducibles y Capital Social,2025,1656,0.651,0.686,0.215,0.009,0.344,0.914,1.0
Relación entre el Capital Institucional y el Activo Total,2021,1656,0.093,0.083,0.053,0.0,0.039,0.17,0.282
Relación entre el Capital Institucional y el Activo Total,2022,1656,0.094,0.083,0.053,0.0,0.035,0.161,0.37
Relación entre el Capital Institucional y el Activo Total,2023,1656,0.094,0.082,0.054,0.0,0.034,0.165,0.377
Relación entre el Capital Institucional y el Activo Total,2024,1656,0.091,0.08,0.055,0.0,0.03,0.157,0.331
Relación entre el Capital Institucional y el Activo Total,2025,1656,0.087,0.077,0.055,0.0,0.028,0.152,0.372
