Año,Mes,índice CAMEL,CAJA COOPERATIVA CREDICOOP,CAJA COOPERATIVA PETROLERA,CASA NACIONAL DEL PROFESOR,COOPANTEX COOPERATIVA DE AHORRO Y CREDITO,COOPERATIVA AHORRO Y CREDITO GOMEZ PLATA LTDA.,COOPERATIVA BELEN AHORRO Y CREDITO,COOPERATIVA CALDENSE DEL PROFESOR,COOPERATIVA DE AHORRO Y CREDITO BERLIN,COOPERATIVA DE AHORRO Y CREDITO COLANTA,COOPERATIVA DE AHORRO Y CREDITO CONGENTE,COOPERATIVA DE AHORRO Y CREDITO COOMPARTIR,COOPERATIVA DE AHORRO Y CREDITO COOTRAIPI,COOPERATIVA DE AHORRO Y CREDITO COOYAMOR,COOPERATIVA DE AHORRO Y CREDITO CREAFAM,COOPERATIVA DE AHORRO Y CREDITO CREAR LTDA CREARCOP,COOPERATIVA DE AHORRO Y CREDITO DE AIPE,COOPERATIVA DE AHORRO Y CREDITO DE CHIPAQUE,COOPERATIVA DE AHORRO Y CREDITO DE DROGUISTAS DETALLISTAS,COOPERATIVA DE AHORRO Y CREDITO DE SANTANDER LIMITADA,COOPERATIVA DE AHORRO Y CREDITO DE SURAMERICA,COOPERATIVA DE AHORRO Y CREDITO DE TENJO,COOPERATIVA DE AHORRO Y CREDITO DE TRABAJADORES UNIDOS POR EL PROGRESO,COOPERATIVA DE AHORRO Y CREDITO DEL FUTURO,COOPERATIVA DE AHORRO Y CREDITO DEL NUCLEO FAMILIAR DE LOS TRAB.DE ECP.LTDA,COOPERATIVA DE AHORRO Y CREDITO FINANCIAFONDOS,COOPERATIVA DE AHORRO Y CREDITO LA GRANJA LTDA.,COOPERATIVA DE AHORRO Y CREDITO LA PLAYA DE BELEN LTDA,COOPERATIVA DE AHORRO Y CREDITO PARA EL BIENESTAR SOCIAL,COOPERATIVA DE AHORRO Y CREDITO RIACHON LTDA.,COOPERATIVA DE AHORRO Y CREDITO SAN MIGUEL,COOPERATIVA DE AHORRO Y CREDITO SOCIAL LTDA PROSPERANDO,COOPERATIVA DE AHORRO Y CREDITO TABACALERA Y AGROPECUARIA LTDA,COOPERATIVA DE AHORRO Y CREDITO UNIVERSIDAD SANTO TOMAS,COOPERATIVA DE EMPLEADOS DEL SECTOR COOPERATIVO LTDA.,COOPERATIVA DE EMPLEADOS SURAMERICANA,COOPERATIVA DE FOMENTO E INVERSION SOCIAL POPULAR,COOPERATIVA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA,COOPERATIVA DE LOS PROFESIONALES DE LA SALUD COASMEDAS,COOPERATIVA DE LOS TRABAJADORES DEL INSTITUTO DE LOS SEGUROS SOCIALES,COOPERATIVA DE MUJERES PARA LA PROMOCION INTEGRAL,COOPERATIVA DE PROFESIONALES DE CALDAS,COOPERATIVA DE PROFESORES DE LA U NACIONAL DE COLOMBIA,COOPERATIVA DE PROMOCION SOCIAL,COOPERATIVA DE TRABAJADORES DE BAVARIA DIRECCION Y VENTAS LTDA,COOPERATIVA DE TRABAJADORES DE LA EDUCACION DEL RISARALDA,COOPERATIVA DE TRABAJADORES DE LAS EMPRESAS DEPARTAMENTALES DE ANTIOQU,COOPERATIVA DE TRABAJADORES DEL SENA,COOPERATIVA DE TRABAJADORES DEPARTAMENTALES DE ANTIOQUIA,COOPERATIVA DE TRABAJADORES Y PENSIONADOS DE LA E.A.A.B.,COOPERATIVA DE TT DE EL COLOMBIANO LTDA.,COOPERATIVA DE YARUMAL,COOPERATIVA DEL MAGISTERIO,COOPERATIVA DIOCESANA DEL CLERO LTDA,COOPERATIVA ESPECIALIZADA DE AHORRO Y CREDITO AFROAMERICANA,COOPERATIVA ESPECIALIZADA DE AHORRO Y CREDITO DE LA ORINOQUIA,COOPERATIVA FINANCIERA CAFETERA,COOPERATIVA FINANCIERA SAN FRANCISCO,COOPERATIVA FRATERNIDAD SACERDOTAL LTDA,COOPERATIVA INTEGRAL AGROPECUARIA LA PAZ LTDA,COOPERATIVA INTEGRAL PARA EL DESARROLLO SOCIAL Y ECONOMICO DE TEORAMA,COOPERATIVA LA ROSA,COOPERATIVA LATINOAMERICANA DE AHORRO Y CREDITO,COOPERATIVA LEON XIII DE MACEO LTDA,COOPERATIVA MEDICA DE ANTIOQUIA LTDA,COOPERATIVA MULTIACTIVA ANTONIO JOSE JARAMILLO TOBON,COOPERATIVA MULTIACTIVA COOMONOMEROS,COOPERATIVA MULTIACTIVA DE EL PAUJIL CAQUETA LIMITADA,COOPERATIVA MULTIACTIVA DE LA AVIACION CIVIL COLOMBIANA,COOPERATIVA MULTIACTIVA DE LOS TRABAJADORES DEL ISS,COOPERATIVA MULTIACTIVA DE PROFESIONALES DE SANTANDER LTDA,COOPERATIVA MULTIACTIVA DEL GUAINIA,COOPERATIVA MULTIACTIVA DEL INEM DE IBAGUE,COOPERATIVA MULTIACTIVA EL BAGRE LTDA,COOPERATIVA MULTIEMPRESAS,COOPERATIVA MULTISERVICIOS BARICHARA LTDA,COOPERATIVA NACIONAL EDUCATIVA DE AHORRO Y CREDITO,COOPERATIVA PARA EL BIENESTAR SOCIAL,COOPERATIVA SAN SIMON,COOPERATIVA SAN VICENTE DE PAUL LTDA.,COOPERATIVA TELEPOSTAL LTDA,COOPERATIVA TEXAS LTDA,COPERATIVA INDEPENDIENTE DE EMPLEADOS DE ANTIOQUIA,COPERATIVA MULTIACTIVA DE EDUCADORES DE BOYACA,COPROCENVA COOPERATIVA DE AHORRO Y CREDITO,EMPRESA COOPERATIVA DE AHORRO Y CREDITO SIGLO XX LTDA.,FINANCIERA COOPERATIVA COLOMBIANA DE INGENIEROS,GRAN COOPERATIVA DE ENERGIA ELECTRICA Y RECURSOS NATURALES,"MULTIACTIVA EL ROBLE, ENTIDAD COOPERATIVA"
2014,1,Indicador de margen neto,0.10355028367036144,0.006416284513169367,0.10150448535571333,0.008840729316315818,0.07882841954271554,0.0,0.0,0.08241641271967078,0.0,0.20415028525208487,0.011404426375006058,0.019257029194265935,0.10232506634175698,0.011718137971790636,0.01821407383255683,0.05274831637338944,0.02761721797028188,0.18019447916207668,0.25927716519055183,0.030654374337101158,0.011490088952239203,0.009949985732957682,0.0008533643806758918,0.005707679226570603,0.004052394147184255,0.0019164565454154472,0.25942884538467514,0.016238036032346675,0.001676904125493596,0.06862784169715373,0.013254350909387152,0.0025436119525855967,0.04935042900578266,0.027255332545992043,0.23834124538264465,0.00789140186290969,0.030202358623372394,0.02933631971846336,1.3563553385217116e-05,0.047422121759386225,0.006606297949078031,0.09282579376110313,0.0,0.011034315985580079,0.0036495661060281055,0.04459201321824418,0.08566060456352496,0.073141248925736,0.01213400797813119,0.06672253327695593,0.03680923908591999,3.7987855605845214e-05,0.031494404936564864,0.001095609438419371,0.03941878002070761,0.03475579997034109,0.0,0.0400938407802265,0.0,0.01204126638348996,0.007522324323991836,0.024597802918235122,0.0,0.0,0.06547704660334376,0.03654175739453862,0.0068299710617834505,0.025983175690573204,0.051495721323103164,0.057137353476106725,0.011930196409233762,0.0,0.0,0.029103620293950753,0.0004120983805622709,0.03584272888120831,0.040129162286835454,0.014354076042819188,0.022719303900546575,0.0,0.0006017873177829289,0.01632247585468793,0.0027359291477792027,0.1320865574471045,0.010363475719362619,0.022699686656531378,0.09634658019454426,0.016085205076435714
2014,1,Indicador de rentabilidad sobre el capital invertido - ROIC,5038659589.841249,53374773226.49458,1806066983.7462502,4011862189.25,36256002.875,955748566.7083334,0.0,0.0,32485753687.17917,12529135441.320833,245843324.5275,694761307.0725,0.0,267126953.61083332,8456350533.916666,480827851.0416667,0.0,1250000000.0,41309640375.088745,59434027.458333336,744444444.8333334,721710.1516666667,2604317301.7920837,2822191373.666667,50495416.309583336,189851494.8333333,109945570.83333333,128805897.69791667,911108971.875,3353517601.420417,29643808.922500003,2609807157.2391667,0.0,505874636.2420833,0.0,4220876289.317917,241811351.93041667,406337337.23499995,9104909.053333335,358588190.1666666,2143826128.6666665,3106111113.3333335,0.0,331751837.35833335,478621624.12791663,135135731.875,265232.8858333333,849019241.1666667,421370614.7391667,1697984.2054166666,46167113.41291667,0.0,0.0,0.0,0.0,187895367.86166668,0.0,1397356070.3058333,49097282.75,659437127.8333334,0.0,11655251012.927082,0.0,1320224713.5358334,7552083.333333333,1038113836.7183335,303353580.7916666,9502757185.381666,589375354.9166667,0.0,702389688.3483334,0.0,171409759.74666667,54166666.666666664,4184035152.373333,7818821980.4575,0.0,59436450.46875,931751124.2083333,23149.791666666668,52283279.47333334,322125928.0320834,1268798928.1375,4643042335.61125,767871197.10875,92043720.73916668,23979438.083333336,0.0
2014,1,Indicador de rentabilidad sobre recursos propios - ROE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014,2,Indicador de margen neto,0.05669097924240843,0.005839147350808592,0.10138803218947,0.008809709421831029,0.07938097885846165,0.007566785748064014,0.0,0.09770973542300786,0.011374810340251184,0.19803850892922298,0.007584919527665366,0.018890901482371776,0.09625912948194651,0.010319046571937083,0.023366054797607214,0.040731445529578386,0.024765503025767674,0.16990077209075677,0.23705401907862486,0.06014256590751915,0.012339484389984978,0.004914379258719986,0.000785636128192216,0.006282103318745165,0.002491368995700755,0.0050290156673747435,0.20027353186324592,0.01669387796454462,0.001554788587454603,0.06883927337776036,0.012848772465309662,0.0061636881827985745,0.029597628627693176,0.028043957632991834,0.23891040560086138,0.013422203955789318,0.03367523565801126,0.05262976669483533,4.331740930602437e-05,0.05014685980014452,0.0064079888767586595,0.0897408581373016,0.0,0.012909390055824458,0.0039810177914101135,0.03392244737116612,0.061945263696898525,0.0731020261634212,0.027767817163990786,0.06548824233544286,0.03642809891541597,0.00027595323520932533,0.03737128138973591,0.0017910830436311017,0.021865124932976907,0.031412459623138524,0.0,0.04573179810154144,0.0,0.17946858192925325,0.008219919959945714,0.030162278734365517,0.0,0.0,0.05051401542225618,0.07065783206188306,0.00935739051555173,0.019417858892359724,0.2238948937947496,0.0513004989068274,0.014623574622493992,0.0,0.0,0.02747786135708141,0.002382290876676279,0.03755397755533267,0.03388507577712122,0.01415880957425052,0.018991961558723132,0.0,0.000845698974269341,0.02163846298081004,0.002718532760363325,0.13372387349078452,0.004141810493534211,0.02588154441214869,0.10500936350689362,0.01654073853249723
2014,2,Indicador de rentabilidad sobre el capital invertido - ROIC,4792897084.48625,51109540421.38458,1798501883.2462502,2908229992.75,36256002.875,955748566.7083334,0.0,0.0,31316577907.17917,12369060591.465834,241548576.5575,688094642.0725,0.0,317998836.1008333,8686673681.916666,466497150.0416667,0.0,250000000.0,40487625154.11875,59434027.458333336,481476127.3333334,10456744.596666668,2571817306.7920837,2768163610.666667,50495179.364583336,189851494.8333333,107167795.83333333,128805897.69791667,879234043.375,3491883965.420417,33331178.422500003,2752847536.7391667,0.0,542591326.2420833,0.0,4218739049.317917,239216822.93041667,406337337.23499995,241754.36833333332,340879856.6666666,2091076134.6666665,4308031926.833333,0.0,320628716.54833335,478621624.12791663,126802398.375,50265232.88583333,925755354.6666667,449077661.9891667,1697984.2054166666,46167113.41291667,0.0,0.0,0.0,0.0,188094307.86166668,0.0,1378825485.9908333,49097282.75,652770462.8333334,0.0,11535674440.542084,0.0,954601151.4108334,7552083.333333333,1147181463.8883333,299186915.7916666,9987620494.386667,555179933.9166667,0.0,748315985.3483334,0.0,167243094.74666667,54166666.666666664,4223159474.783333,7714406205.9575,0.0,34436450.46875,850917794.2083333,23149.791666666668,76849972.47333333,225086452.53208336,1250321042.1375,4554369926.811251,761422768.00875,54696782.89916667,14263912.583333334,0.0
2014,2,Indicador de rentabilidad sobre recursos propios - ROE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014,3,Indicador de margen neto,0.05540742968100573,0.011808964632718513,0.10697737439064228,0.08955561867036553,0.08518172186056087,0.034531566523371894,0.0,0.10657940882897898,0.007448344738707315,0.1990549198549514,0.006476534209647006,0.019771561440446107,0.07921491160260007,0.009793582197361506,0.02160095119003189,0.04327351738768401,0.025630630769101596,0.15831878479021302,0.23019318297950905,0.072048413411939,0.012180287921529835,0.0032369258384544477,0.13231084920440148,0.006954544455228932,0.0028764358554432953,0.007954761130076676,0.2799137316284966,0.016855065846227653,0.0,0.07736801147766417,0.012312426240902114,0.0568756425685932,0.023396328737726308,0.030346024731556936,0.2182885221851619,0.012980575283051313,0.03196407640436816,0.05541044736840852,3.0908998030301295e-05,0.09646690764926343,0.007530960293739087,0.08818322950830862,0.0,0.012957663395695363,0.004177625640563222,0.0,0.05887602045202476,0.06566573750271727,0.036200057954143244,0.06593039608489124,0.03530908842983887,0.00019437554617620015,0.041170436173426715,0.0017659758786800711,0.015371790851301649,0.030901448675113134,0.0,0.041437142797722835,0.03447040781413811,0.19960309617186944,0.010720179076707345,0.030854235868142614,0.0,0.0,0.05118528062882522,0.07708748457539907,0.2658263894914737,0.015415950554431214,0.19388481313406764,0.04659906227580754,0.012216522548172407,0.0003632379477444617,0.0,0.027760607575097605,0.0017664781626036419,0.03803622241331917,0.03490908367323203,0.01729865492978791,0.01694369369541852,0.0,0.0009922288690218351,0.02032111765429574,0.0029093018480277474,0.13965908372703134,0.008318855935140729,0.020354109332954097,0.10584767323256668,0.018264286017020744
2014,3,Indicador de rentabilidad sobre el capital invertido - ROIC,4582822644.841249,49309504466.72958,1790952266.9862502,1508229992.75,36256002.875,955748566.7083334,0.0,0.0,30271835393.17917,12003917083.800835,241548576.5575,673094977.0725,0.0,232981980.79583332,8319833829.916666,452092860.5416667,0.0,250000000.0,39507332475.088745,59434027.458333336,467587238.8333334,721710.1516666667,2529595256.2920837,2714135847.666667,50570943.864583336,229851494.8333333,104389262.83333333,128805897.69791667,890166518.35,3436782853.920417,30539404.922500003,2801931625.3641667,0.0,533558016.2420833,0.0,4643739049.317917,291300280.43041664,406337337.23499995,241754.36833333332,323171526.6666666,2047697026.5666666,4274420816.8333335,0.0,308418478.0683333,478621624.12791663,43469065.375,149452861.29083332,848429060.1666667,421370614.7391667,1697984.2054166666,46167113.41291667,0.0,0.0,0.0,0.0,190017451.36166668,0.0,1363497996.0858333,49097282.75,646097892.3333334,0.0,11535985652.927082,0.0,1095423333.7208333,7552083.333333333,1083451152.1533334,295020250.7916666,10077488266.646667,529998229.4166667,0.0,777295596.8483334,0.0,29743089.74666667,4166666.6666666665,4298950691.163333,7872874799.9725,0.0,34436450.46875,755501005.7083333,23149.791666666668,52839765.47333334,225086452.53208336,1220513895.6425,4571990640.021251,748162985.4337499,84729787.81416667,11060482.083333334,0.0
2014,3,Indicador de rentabilidad sobre recursos propios - ROE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014,4,Indicador de margen neto,0.04163878170244961,0.004958833598189869,0.013549214647267072,0.09628246681882262,0.08717076438249755,0.029794673297012592,0.0,0.11206029654837367,0.005641219516783478,0.19570712215868288,0.007061956303378772,0.02011917021833037,0.07533895227917643,0.009870736502357544,0.021240563543171404,0.07603227201818336,0.026780090893693848,0.1504246128766731,0.20922387114355698,0.07691667859327468,0.015637985261748644,0.0024322412081031006,0.1028507808531022,0.0064290128146723404,0.003229337604157541,0.0087751862892685,0.3198433427953296,0.016942017775277922,0.0,0.0966975883738767,0.012897644909547167,0.05565106484781584,0.02221299584892536,0.029980966101103863,0.21505074189401086,0.017291850701858572,0.034547916707639195,0.05776063173485304,2.5551259735802656e-05,0.08354109674666126,0.010289034603932098,0.0770586527253577,0.0,0.012635128280714851,0.0041106754927575226,0.033035272232839606,0.06420816867227087,0.06265528254527176,0.016592796861024158,0.06659302635926583,0.030754654690137138,0.0001522215800834159,0.040772763186055584,0.0017825893042848556,0.008279676929315437,0.03023432223013378,0.0,0.04934000493915383,0.049692754049825906,0.21112474883964769,0.008573309233111571,0.033843046797641343,0.0,0.0,0.050839018110941034,0.07429243827934837,0.21035387143677622,0.012980349409504589,0.15215379427494177,0.050206245107621464,0.009963801749055593,0.00026499284817426886,0.0,0.027435970278173558,0.0014805161304155975,0.0,0.03208336823393076,0.01687073321518244,0.019593833792898373,0.0001229135775941232,0.007009613102843484,0.020631535332674714,0.0028851432811052287,0.12320533308378546,0.005215993392135028,0.017260651529340035,0.10774476943129634,0.01698466644819912
